0.000000,-0.500000,0.200000,0.500000,-0.500000,-0.100000,-0.500000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.002990,-0.500575,0.197347,0.496156,-0.487980,-0.131416,-0.487595,0.198845,0.068088,-0.092124,0.019615,-0.043651,0.000000
-0.005536,-0.500918,0.195090,0.492679,-0.475015,-0.162832,-0.475312,0.197781,0.129251,-0.167340,0.039506,-0.077595,0.000000
-0.007853,-0.501093,0.193036,0.489331,-0.461386,-0.194248,-0.463331,0.196742,0.187885,-0.232757,0.060592,-0.105463,0.000000
-0.010055,-0.501133,0.191084,0.485983,-0.447237,-0.225664,-0.451759,0.195689,0.246381,-0.292204,0.083381,-0.129204,0.000000
-0.012215,-0.501059,0.189168,0.482556,-0.432650,-0.257080,-0.440665,0.194595,0.306210,-0.348002,0.108198,-0.149990,0.000000
-0.014379,-0.500883,0.187247,0.478998,-0.417670,-0.288496,-0.430105,0.193439,0.368369,-0.401686,0.135274,-0.168591,0.000000
-0.016582,-0.500615,0.185291,0.475272,-0.402327,-0.319911,-0.420123,0.192205,0.433591,-0.454345,0.164792,-0.185545,0.000000
-0.018849,-0.500261,0.183276,0.471350,-0.386634,-0.351327,-0.410761,0.190877,0.502455,-0.506799,0.196906,-0.201250,0.000000
-0.021202,-0.499825,0.181183,0.467208,-0.370599,-0.382743,-0.402056,0.189439,0.575451,-0.559701,0.231762,-0.216012,0.000000
-0.023659,-0.499312,0.178994,0.462827,-0.354218,-0.414159,-0.394050,0.187877,0.653018,-0.613599,0.269501,-0.230082,0.000000
-0.026237,-0.498724,0.176696,0.458188,-0.337484,-0.445575,-0.386786,0.186176,0.735577,-0.668978,0.310268,-0.243669,0.000000
-0.028952,-0.498062,0.174272,0.453273,-0.320385,-0.476991,-0.380309,0.184320,0.823546,-0.726284,0.354221,-0.256960,0.000000
-0.031821,-0.497329,0.171707,0.448064,-0.302902,-0.508407,-0.374673,0.182289,0.917362,-0.785953,0.401534,-0.270125,0.000000
-0.034860,-0.496524,0.168987,0.442540,-0.285010,-0.539823,-0.369937,0.180063,1.017499,-0.848423,0.452403,-0.283327,0.000000
-0.038088,-0.495650,0.166094,0.436681,-0.266678,-0.571239,-0.366170,0.177620,1.124484,-0.914158,0.507056,-0.296730,0.000000
-0.041526,-0.494704,0.163009,0.430458,-0.247868,-0.602655,-0.363456,0.174933,1.238921,-0.983660,0.565763,-0.310502,0.000000
-0.045197,-0.493688,0.159710,0.423841,-0.228533,-0.634071,-0.361891,0.171970,1.361518,-1.057497,0.628845,-0.324825,0.000000
-0.049130,-0.492601,0.156171,0.416793,-0.208612,-0.665487,-0.361595,0.168693,1.493125,-1.136328,0.696697,-0.339900,0.000000
-0.053359,-0.491439,0.152361,0.409265,-0.188032,-0.696903,-0.362718,0.165056,1.634787,-1.220939,0.769807,-0.355960,0.000000
-0.057926,-0.490202,0.148240,0.401196,-0.166699,-0.728319,-0.365446,0.161000,1.787815,-1.312300,0.848799,-0.373284,0.000000
-0.062887,-0.488885,0.143758,0.392506,-0.144488,-0.759734,-0.370023,0.156451,1.953912,-1.411647,0.934483,-0.392219,0.000000
-0.068313,-0.487482,0.138847,0.383086,-0.121235,-0.791150,-0.376774,0.151310,2.135347,-1.520607,1.027952,-0.413212,0.000000
-0.074307,-0.485987,0.133417,0.372782,-0.096714,-0.822566,-0.386152,0.145438,2.335286,-1.641426,1.130731,-0.436871,0.000000
-0.081015,-0.484384,0.127330,0.361365,-0.070592,-0.853982,-0.398820,0.138636,2.558366,-1.777369,1.245065,-0.464067,0.000000
-0.088670,-0.482656,0.120375,0.348473,-0.042352,-0.885398,-0.415815,0.130588,2.811882,-1.933540,1.374495,-0.496153,0.000000
-0.097673,-0.480764,0.112185,0.333469,-0.011103,-0.916814,-0.438939,0.120749,3.108531,-2.118785,1.525194,-0.535449,0.000000
-0.107405,-0.478901,0.103323,0.317420,0.020313,-0.944179,-0.467612,0.109651,3.427088,-2.321151,1.685989,-0.580052,0.000000
-0.116860,-0.477285,0.094708,0.301966,0.048416,-0.964210,-0.499028,0.098393,3.734247,-2.520094,1.839880,-0.625727,0.000000
-0.125446,-0.475988,0.086885,0.288021,0.071773,-0.976844,-0.530444,0.087762,4.011047,-2.702870,1.977506,-0.669330,0.000000
-0.133419,-0.474929,0.079620,0.275116,0.091553,-0.984006,-0.561860,0.077551,4.266298,-2.874436,2.103506,-0.711644,0.000000
-0.140932,-0.474060,0.072777,0.262974,0.108411,-0.986799,-0.593276,0.067637,4.505226,-3.037712,2.220636,-0.753123,0.000000
-0.147808,-0.473375,0.066520,0.251861,0.122181,-0.985947,-0.623466,0.058314,4.722472,-3.188507,2.326431,-0.792466,0.000000
-0.153689,-0.472874,0.061171,0.242340,0.132534,-0.982534,-0.650310,0.050141,4.907221,-3.318581,2.415842,-0.827203,0.000000
-0.158713,-0.472508,0.056605,0.234186,0.140198,-0.977639,-0.673869,0.043014,5.064257,-3.430483,2.491436,-0.857662,0.000000
-0.163000,-0.472240,0.052712,0.227207,0.145745,-0.972003,-0.694315,0.036827,5.197693,-3.526533,2.555376,-0.884216,0.000000
-0.166655,-0.472044,0.049396,0.221237,0.149622,-0.966124,-0.711879,0.031473,5.311049,-3.608819,2.609484,-0.907254,0.000000
-0.169769,-0.471899,0.046572,0.216133,0.152176,-0.960329,-0.726820,0.026855,5.407333,-3.679197,2.655295,-0.927159,0.000000
-0.172419,-0.471792,0.044170,0.211772,0.153678,-0.954819,-0.739399,0.022880,5.489108,-3.739302,2.694102,-0.944297,0.000000
-0.174674,-0.471712,0.042127,0.208048,0.154333,-0.949708,-0.749871,0.019466,5.558557,-3.790569,2.726992,-0.959004,0.000000
-0.176592,-0.471651,0.040389,0.204869,0.154301,-0.945052,-0.758477,0.016538,5.617537,-3.834248,2.754881,-0.971592,0.000000
-0.178223,-0.471604,0.038913,0.202156,0.153703,-0.940866,-0.765436,0.014030,5.667629,-3.871421,2.778543,-0.982336,0.000000
-0.179608,-0.471567,0.037659,0.199842,0.152631,-0.937138,-0.770949,0.011886,5.710173,-3.903027,2.798630,-0.991484,0.000000
-0.180785,-0.471537,0.036593,0.197869,0.151158,-0.933839,-0.775194,0.010053,5.746310,-3.929873,2.815691,-0.999254,0.000000
-0.181784,-0.471511,0.035689,0.196186,0.149336,-0.930931,-0.778331,0.008488,5.777010,-3.952653,2.830193,-1.005836,0.000000
